Filename,Start Time (s),End Time (s),Detected Feature
GE_M1-20ml.wav,11.493877551020407,11.598367346938776,Spectral Flux
GE_M1-20ml.wav,12.387845804988663,13.200544217687074,Spectral Flux
GE_M1-20ml.wav,13.235374149659863,13.235374149659863,Spectral Flux
GE_M1_10ml.wav,10.936598639455783,11.04108843537415,Energy
GE_M1_10ml.wav,11.377777777777778,12.910294784580499,Energy
GE_M1_10ml.wav,12.968344671201814,12.968344671201814,Energy
GE_M1_10ml.wav,5579.894421768708,5582.286077097506,Envelope
GE_M1_10ml.wav,5584.236553287982,5586.87201814059,Envelope
GE_M1_10ml.wav,5589.855782312925,5592.07328798186,Envelope
GE_M1_10ml.wav,5604.588843537415,5604.809433106576,Envelope
GE_M1_10ml.wav,5605.424761904762,5605.842721088436,Envelope
GE_M1_10ml.wav,5606.771519274376,5607.015328798186,Envelope
GE_M1_10ml.wav,5607.386848072562,5607.723537414966,Envelope
GE_M1_10ml.wav,5608.896145124717,5611.311020408163,Envelope
GE_M1_10ml.wav,5614.027755102041,5615.444172335601,Envelope
GE_M1_10ml.wav,5616.442630385488,5616.790929705216,Envelope
GE_M1_10ml.wav,5617.127619047619,5617.847437641723,Envelope
GE_M1_10ml.wav,5618.903945578231,5619.182585034014,Envelope
GE_M1_10ml.wav,5620.715102040816,5621.8760997732425,Envelope
GE_M1_10ml.wav,5623.698866213152,5624.302585034014,Envelope
GE_M1_10ml.wav,5624.569614512472,5625.242993197279,Envelope
GE_M1_10ml.wav,5627.158639455783,5627.866848072563,Envelope
GE_M1_10ml.wav,5628.110657596372,5630.293333333333,Envelope
GE_M1_10ml.wav,5631.29179138322,5631.872290249433,Envelope
GE_M1_10ml.wav,5632.95201814059,5635.575873015873,Envelope
GE_M1_10ml.wav,5636.017052154195,5637.154829931973,Envelope
GE_M1_10ml.wav,5637.886258503401,5639.058866213152,Envelope
GE_M1_10ml.wav,5639.894784580499,5640.9629024943315,Envelope
GE_M1_10ml.wav,5642.031020408163,5643.563537414966,Envelope
GE_M1_10ml.wav,5645.5488435374145,5646.837551020408,Envelope
GE_M1_10ml.wav,5648.14947845805,5648.520997732427,Envelope
