audio_file,segment_type,frequency_hz,spl_db,detected_swallows,expected_swallows,group,volume_ml
GC-F10-10ml.wav,post_swallow,1141.259766,-21.24502143,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1152.026367,-22.70524901,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1162.792969,-22.52983287,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1173.55957,-21.34162987,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1184.326172,-23.58264911,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1195.092773,-25.55881166,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1205.859375,-24.04048499,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1216.625977,-22.58786769,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1227.392578,-22.18750931,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1238.15918,-21.30780606,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1248.925781,-22.14245594,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1259.692383,-24.31453829,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1270.458984,-23.67322802,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1281.225586,-25.86251182,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1291.992188,-24.38103049,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1302.758789,-23.45347899,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1313.525391,-23.41357313,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1324.291992,-20.3680471,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1335.058594,-21.10637025,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1345.825195,-22.74339806,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1356.591797,-23.87882359,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1367.358398,-22.38834381,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1378.125,-23.20378688,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1388.891602,-23.73745187,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1399.658203,-25.3784605,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1410.424805,-24.13660603,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1421.191406,-22.04680923,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1431.958008,-23.1582761,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1442.724609,-22.77931235,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1453.491211,-23.65459701,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1464.257813,-24.21946834,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1475.024414,-23.74627185,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1485.791016,-24.2147342,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1496.557617,-23.59210389,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1507.324219,-23.97274407,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1518.09082,-25.41463374,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1528.857422,-24.31362601,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1539.624023,-22.76646261,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1550.390625,-22.4370962,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1561.157227,-21.61765817,2,2,Control,10
